id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
33653,Super Advantage Controller,Super Nintendo,4443,Item only,Normal wear,,,,4500,1,2022-10-17
35151,Super Smash Bros for Nintendo 3DS,Nintendo 3DS,1105,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
2985,Pokemon Red,GameBoy,5711,Item only,Normal wear,,,,4000,1,2023-02-05
9325,Metal Gear Acid,PSP,2466,"Item, Box, and Manual",Normal wear,,,,2500,1,2022-10-11
3453720,8BitDo Arcade Stick,Nintendo Switch,7218,Item only,Normal wear,,,,0,1,2022-07-06
30266,Fallout: New Vegas,Playstation 3,601,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12574,Shove It,Sega Genesis,2948,Item and Box only,Normal wear,,,,0,1,2021-11-21
2657,Tony Hawk 2,GameBoy Advance,842,Item only,Normal wear,,,,800,1,2022-08-10
31236,Evolution: Eternal Dungeons,JP Neo Geo Pocket Color,10749,Item only,Normal wear,,,,0,1,2021-11-21
4089,Meteos,Nintendo DS,1477,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
62055,Kirby 64,JP Nintendo 64,1024,Item only,Normal wear,,,,1800,1,2022-10-17
5743,Shadow of the Colossus,Playstation 2,1280,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3865,Perfect Dark,Nintendo 64,1999,Item only,Normal wear,,,,1000,1,2022-10-17
18403,Sonic Spinball,Sega Game Gear,1485,Item only,Normal wear,,,,0,1,2021-11-21
12262,Hogan's Alley,NES,861,Item only,Normal wear,,,,1000,1,2022-12-15
6971,Kirby Super Star,Super Nintendo,5850,Item only,Normal wear,,,,6000,1,2022-10-16
15509,Star Wars The Empire Strikes Back,Atari 2600,1687,Item only,Normal wear,,,,0,1,2021-11-21
70117,Half-Life,PC Games,1158,Item only,Normal wear,,,,0,1,2022-03-22
3872174,Rendering Ranger 2 [Limited Run],Super Nintendo,0,"New Item, Box, and Manual",Normal wear,,,,5999,1,2022-08-27
14547,Super Bomberman,Super Nintendo,4419,Item only,Normal wear,,,,4100,1,2022-11-20
40379,Super Mario Odyssey,Nintendo Switch,3800,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3142,Zelda Oracle of Ages,GameBoy Color,4800,Item only,Normal wear,,,,0,1,2021-11-21
31181,Metal Slug: 2nd Mission,Neo Geo Pocket Color,8315,Item only,Normal wear,,,,0,1,2021-11-21
12010,Super Mario Bros 2,NES,1004,Manual only,Normal wear,,,,0,1,2022-03-22
2172542,Sonic R [PC Collection],PC Games,1295,Item only,Normal wear,,,,0,1,2022-03-22
3305915,Kirby and the Forgotten Land,Nintendo Switch,4999,"New Item, Box, and Manual",Normal wear,,,,0,1,2022-04-06
7145,Super Nintendo System,Super Nintendo,19096,Item only,Normal wear,,,,0,2,2022-03-22
44949,Monster Hunter: World,Playstation 4,744,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
10103,Vectorman,Sega Genesis,833,Item only,Torn label,,,,1200,1,2022-08-30
15498,Stampede,Atari 2600,633,Item only,Normal wear,,,,0,1,2021-11-21
12295,Klax,NES,1172,Item only,Normal wear,,,,800,1,2022-11-12
44797,Thoroughbred Breeder,Super Famicom,520,Item only,Normal wear,,,,500,1,2022-10-16
7043,Pac-Man 2 The New Adventures,Super Nintendo,2334,"Item, Box, and Manual",Normal wear,,has foil box card,,1900,1,2022-10-18
4533,Legacy of Kain Soul Reaver,Playstation,2688,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
18317,Mortal Kombat,Sega Game Gear,957,Item only,Normal wear,,,,0,1,2022-11-04
9778,Sonic 3D Blast,Sega Genesis,1449,Item only,Normal wear,,,,0,1,2021-11-21
69632,Diablo II: Lord of Destruction,PC Games,1244,Item only,Normal wear,,,,0,1,2022-03-22
58596,Atari 2600 System [Vadar],Atari 2600,5717,Item only,Normal wear,,,,0,1,2022-03-22
53740,Spyro Reignited Trilogy,Playstation 4,1486,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
12516,Wheel of Fortune Family Edition,NES,539,Item only,Normal wear,,,,0,1,2022-08-12
3564101,Teenage Mutant Ninja Turtles: Shredder's Revenge,Nintendo Switch,3497,"New Item, Box, and Manual",Normal wear,,,,3499,1,2022-08-27
30788,Golden Sun: Dark Dawn,Nintendo DS,2774,"Item, Box, and Manual",Normal wear,,,,2700,1,2022-11-23
71651,Rhythm Tengoku Gold,JP Nintendo DS,1509,"Item, Box, and Manual",Normal wear,,,,2200,1,2022-10-18
14953,Kirby Super Star Ultra,Nintendo DS,3974,"Item, Box, and Manual",Normal wear,,,,3000,1,2022-10-07
15418,Raiders of the Lost Ark,Atari 2600,948,Item only,Normal wear,,,,0,1,2021-11-21
5798,Spiderman,Playstation 2,870,"Item, Box, and Manual",Normal wear,,,,1300,1,2022-11-11
12368,Q*bert,NES,945,Item only,Writing,,,,1600,1,2022-01-11
15593,Yars' Revenge,Atari 2600,650,Item only,Normal wear,,,,0,1,2021-11-21
32285,Mario & Sonic at the London 2012 Olympic Games,Wii,1507,Item and Box only,Torn label,,,,0,1,2022-12-17
8816,Daxter,PSP,1318,"Item, Box, and Manual",Normal wear,,,,1000,1,2022-10-17
18418,Streets of Rage 2,Sega Game Gear,2780,Item only,Normal wear,,,,0,1,2022-11-04
2926,Mario Golf,GameBoy Color,1681,Item only,Normal wear,,,,0,1,2021-11-21
9900,Super Street Fighter II,Sega Genesis,1661,Item only,Normal wear,,,,0,1,2021-11-21
10234,Zelda II The Adventure of Link,NES,2089,Item only,Normal wear,,,,0,1,2021-11-21
3924,Super Mario 64,Nintendo 64,2793,Item only,Normal wear,,,,3000,1,2022-09-19
9743,Side Pocket,Sega Genesis,1921,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
2774602,Shadow Mewtwo [Pokken Tournament],Amiibo Cards,2210,Item only,Normal wear,,,,0,1,2023-02-11
65267,Celeste,Nintendo Switch,12900,"New Item, Box, and Manual",Normal wear,,,,18000,1,2022-05-05
12219,Duck Tales,NES,2183,Item only,Normal wear,,,,0,1,2021-11-21
12536,Yo Noid,NES,1880,Item only,Normal wear,,,,0,1,2022-08-12
3166918,Spelunker HD Deluxe,PAL Nintendo Switch,0,Item only,Normal wear,,,,4500,1,2023-01-17
37973,Kung Fu [5 Screw],NES,1120,Item only,Normal wear,,,,0,1,2022-03-17
7279,Blue Dragon,Xbox 360,1300,Item only,Normal wear,,,,2000,1,2022-09-19
